Aug 22 2015 01: +0,5.141,1883
Aug 23 2015 01: +0,4.955,3219
Aug 24 2015 01: +0,4.859,1939
Aug 25 2015 01: +0,4.995,1409
Aug 26 2015 01: +0,4.914,1276
Aug 27 2015 01: +0,4.964,1197
Aug 28 2015 01: +0,4.907,1117
Aug 29 2015 01: +0,5.401,1883
Aug 30 2015 01: +0,4.889,1667
Aug 31 2015 01: +0,5.25,2068
Sep 01 2015 01: +0,4.825,1676
Sep 02 2015 01: +0,5.147,1621
Sep 03 2015 01: +0,4.923,1018
Sep 04 2015 01: +0,5.089,1192
Sep 05 2015 01: +0,5.096,1413
Sep 06 2015 01: +0,5.255,1701
Sep 07 2015 01: +0,5.227,1462
Sep 08 2015 01: +0,4.873,1110
Sep 09 2015 01: +0,4.932,1082
Sep 10 2015 01: +0,5.126,1363
Sep 11 2015 01: +0,4.989,1401
Sep 12 2015 01: +0,5.15,1591
Sep 13 2015 01: +0,4.922,1567
Sep 14 2015 01: +0,4.91,1568
Sep 15 2015 01: +0,5.058,1153
Sep 16 2015 01: +0,5.411,1068
Sep 17 2015 01: +0,5.128,987
Sep 18 2015 01: +0,5.497,1042
Sep 19 2015 01: +0,5.003,1621
Sep 20 2015 01: +0,4.965,1708
Sep 21 2015 01: +0,4.895,1703
Sep 22 2015 01: +0,5.036,1846
Sep 23 2015 01: +0,4.904,1431
Sep 24 2015 01: +0,4.931,1278
Sep 25 2015 01: +0,4.879,1422
Sep 26 2015 01: +0,4.913,1698
Sep 27 2015 01: +0,4.879,1769
Sep 28 2015 01: +0,5.067,1914
Sep 29 2015 01: +0,4.873,1465
Sep 30 2015 01: +0,4.86,1610
Oct 01 2015 01: +0,4.89,1556
Oct 02 2015 01: +0,4.897,1564
Oct 03 2015 01: +0,4.861,1760
Oct 04 2015 01: +0,4.924,1377
Oct 05 2015 01: +0,4.899,1419
Oct 06 2015 01: +0,5.136,1421
Oct 07 2015 01: +0,5.02,1295
Oct 08 2015 01: +0,5.089,1191
Oct 09 2015 01: +0,5.099,1220
Oct 10 2015 01: +0,5.141,1243
Oct 11 2015 01: +0,5.293,1532
Oct 12 2015 01: +0,5.006,1391
Oct 13 2015 01: +0,4.982,1246
